Full_Intersection,Pre_LPI,Post_LPI,Absolute_Change,Percent_Change,Latitude,Longitude
E FRANKLIN AVE & N KANSAS ST,6048400,1364400,-4684000,-77.44196812,31.76207477,-106.4873902
E MISSOURI AVE & N OREGON ST,3706400,151600,-3554800,-95.90977768,31.76111485,-106.4905203
E MISSOURI AVE & N KANSAS ST,3790000,758000,-3032000,-80,31.76281485,-106.4880403
N KANSAS ST & TEXAS AVE,2577200,0,-2577200,-100,31.75997485,-106.4854203
E MILLS AVE & STANTON ST,1432400,0,-1432400,-100,31.76007485,-106.4869403
N CAMPBELL ST & TEXAS AVE,1819200,454800,-1364400,-75,31.76048485,-106.4846203
E OVERLAND AVE & S CAMPBELL ST,1212800,0,-1212800,-100,31.75809485,-106.4835703
STANTON ST & TEXAS AVE,1432400,303200,-1129200,-78.83272829,31.75936485,-106.4863403
S OREGON ST & S OREGON ST,909600,0,-909600,-100,31.75363485,-106.4865603
S SANTA FE ST & W OVERLAND AVE,606400,0,-606400,-100,31.75643485,-106.4897403
E SAN ANTONIO AVE & S KANSAS ST,606400,0,-606400,-100,31.75875485,-106.4848103
E MILLS AVE & N CAMPBELL ST,606400,151600,-454800,-75,31.76119485,-106.4852203
N SANTA FE ST & W SAN ANTONIO AVE,758000,303200,-454800,-60,31.75720485,-106.4899903
E MAIN ST & N STANTON ST,454800,0,-454800,-100,31.76079485,-106.4875703
E OVERLAND AVE & S KANSAS ST,606400,303200,-303200,-50,31.75784485,-106.4845803
N MESA ST & TEXAS AVE,303200,0,-303200,-100,31.75881485,-106.4871503
E MISSOURI AVE & E MISSOURI AVE,303200,0,-303200,-100,31.76230485,-106.4888703
E MAIN ST & N KANSAS ST,454800,303200,-151600,-33.33333333,31.76134485,-106.4867103
E SAN ANTONIO AVE & S CAMPBELL ST,303200,151600,-151600,-50,31.75899485,-106.4837603
S SANTA FE ST & W SAN ANTONIO AVE,151600,0,-151600,-100,31.75720485,-106.4899903
MYRTLE AVE & N KANSAS ST,0,0,0,,31.75924485,-106.4847603
E OVERLAND AVE & S MESA ST,0,0,0,,31.75738485,-106.4866303
E MILLS AVE & N KANSAS ST,0,0,0,,31.76063485,-106.4860503
E OVERLAND AVE & S OREGON ST,0,0,0,,31.75713485,-106.4876703
N SANTA FE ST & W MISSOURI AVE,0,0,0,,31.76011485,-106.4922803
N OREGON ST & W MAIN DR,0,0,0,,31.75972485,-106.4892703
N KANSAS ST & N KANSAS ST,0,0,0,,31.76063485,-106.4860503
E MAIN ST & N CAMPBELL ST,0,0,0,,31.76187485,-106.4858303
E MAIN DR & UNKNOWN,0,0,0,,31.76079485,-106.4875703
CAMPBELL ST & MYRTLE AVE,0,0,0,,31.75973485,-106.4839903
E SAN ANTONIO AVE & N MESA ST,0,0,0,,31.75830485,-106.4867703
E MAIN DR & N KANSAS ST,0,0,0,,31.76134485,-106.4867103
S SANTA FE ST & US 85,0,0,0,,31.75494485,-106.4892303
S SANTA FE ST & S SANTA FE ST,0,0,0,,31.75643036,-106.4897389
S SANTA FE ST & W 4TH AVE,0,0,0,,31.75314485,-106.4887003
S DURANGO ST & W SAN ANTONIO AVE,0,0,0,,31.75647485,-106.4931303
N OREGON ST & W FRANKLIN AVE,0,0,0,,31.76044485,-106.4899003
N OREGON ST & S OREGON ST,0,151600,151600,,31.75802485,-106.4879603
E 4TH AVE & S OREGON ST,0,151600,151600,,31.75363485,-106.4865603
E FRANKLIN AVE & N STANTON ST,0,454800,454800,,31.76153485,-106.4882103
N SANTA FE ST & W FRANKLIN AVE,0,606400,606400,,31.75937485,-106.4916203
